trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
164,False,"{'a': 0.2, 'e': 0.19398004229089189}",30,2,26.138626424073266,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.2, 'e': 0.19204990862075408}",30,6,22.11952443197796,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.2, 'e': 0.1901389801015205}",20,11,15.376189626581066,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.2, 'e': 0.1882470656387468}",25,0,-1.7737031594329782,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.2, 'e': 0.18637397603940997}",20,0,-5.985911390231526,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
169,False,"{'a': 0.2, 'e': 0.18451952399298926}",25,5,-12.048991571574424,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.2, 'e': 0.18268352405273466}",20,9,10.821012048673124,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.2, 'e': 0.1808657926171221}",20,6,-16.98213838608699,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
172,False,"{'a': 0.2, 'e': 0.17906614791149322}",20,0,30.90364567983822,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
173,False,"{'a': 0.2, 'e': 0.17728440996987782}",25,8,1.9735711098058994,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
174,False,"{'a': 0.2, 'e': 0.17552040061699686}",20,8,-21.11969380104455,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
175,False,"{'a': 0.2, 'e': 0.17377394345044514}",30,19,-29.322232796894703,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.2, 'e': 0.17204486382305054}",30,16,26.53239780724472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.2, 'e': 0.17033298882540943}",25,15,16.42107011798651,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
